service_id,date,exception_type
11019,20140825,1
11019,20140826,1
11019,20140827,1
11019,20140828,1
11019,20140829,1
11019,20140902,1
11019,20140903,1
11019,20140904,1
11019,20140905,1
11019,20140908,1
11019,20140909,1
11019,20140910,1
11019,20140911,1
11019,20140912,1
11019,20140915,1
11019,20140916,1
11019,20140917,1
11019,20140918,1
11019,20140919,1
11019,20140922,1
11019,20140923,1
11019,20140924,1
11019,20140925,1
11019,20140926,1
11019,20140929,1
11019,20140930,1
11019,20141001,1
11019,20141002,1
11019,20141003,1
11019,20141006,1
11019,20141007,1
11019,20141008,1
11019,20141009,1
11019,20141010,1
11019,20141014,1
11019,20141015,1
11019,20141016,1
11019,20141017,1
11019,20141020,1
11019,20141021,1
11019,20141022,1
11019,20141023,1
11019,20141024,1
11019,20141027,1
11019,20141028,1
11019,20141029,1
11019,20141030,1
11019,20141031,1
11019,20141103,1
11019,20141104,1
11019,20141105,1
11019,20141106,1
11019,20141107,1
11019,20141110,1
11019,20141111,1
11019,20141112,1
11019,20141113,1
11019,20141114,1
11019,20141117,1
11019,20141118,1
11019,20141119,1
11019,20141120,1
11019,20141121,1
11019,20141124,1
11019,20141125,1
11019,20141126,1
11019,20141127,1
11019,20141128,1
11019,20141201,1
11019,20141202,1
11019,20141203,1
11019,20141204,1
11019,20141205,1
11019,20141208,1
11019,20141209,1
11019,20141210,1
11019,20141211,1
11019,20141212,1
11019,20141215,1
11019,20141216,1
11019,20141217,1
11019,20141218,1
11019,20141219,1
11020,20140818,1
11020,20140819,1
11020,20140820,1
11020,20140821,1
11020,20140822,1
11020,20140825,1
11020,20140826,1
11020,20140827,1
11020,20140828,1
11020,20140829,1
11020,20140902,1
11020,20140903,1
11020,20140904,1
11020,20140905,1
11020,20140908,1
11020,20140909,1
11020,20140910,1
11020,20140911,1
11020,20140912,1
11020,20140915,1
11020,20140916,1
11020,20140917,1
11020,20140918,1
11020,20140919,1
11020,20140922,1
11020,20140923,1
11020,20140924,1
11020,20140925,1
11020,20140926,1
11020,20140929,1
11020,20140930,1
11020,20141001,1
11020,20141002,1
11020,20141003,1
11020,20141006,1
11020,20141007,1
11020,20141008,1
11020,20141009,1
11020,20141010,1
11020,20141014,1
11020,20141015,1
11020,20141016,1
11020,20141017,1
11020,20141020,1
11020,20141021,1
11020,20141022,1
11020,20141023,1
11020,20141024,1
11020,20141027,1
11020,20141028,1
11020,20141029,1
11020,20141030,1
11020,20141031,1
11020,20141103,1
11020,20141104,1
11020,20141105,1
11020,20141106,1
11020,20141107,1
11020,20141110,1
11020,20141111,1
11020,20141112,1
11020,20141113,1
11020,20141114,1
11020,20141117,1
11020,20141118,1
11020,20141119,1
11020,20141120,1
11020,20141121,1
11020,20141124,1
11020,20141125,1
11020,20141126,1
11020,20141127,1
11020,20141128,1
11020,20141201,1
11020,20141202,1
11020,20141203,1
11020,20141204,1
11020,20141205,1
11020,20141208,1
11020,20141209,1
11020,20141210,1
11020,20141211,1
11020,20141212,1
11020,20141215,1
11020,20141216,1
11020,20141217,1
11020,20141218,1
11020,20141219,1
11021,20140818,1
11021,20140819,1
11021,20140820,1
11021,20140821,1
11021,20140822,1
11021,20140825,1
11021,20140826,1
11021,20140827,1
11021,20140828,1
11021,20140829,1
11021,20140902,1
11021,20140903,1
11021,20140904,1
11021,20140905,1
11021,20140908,1
11021,20140909,1
11021,20140910,1
11021,20140911,1
11021,20140912,1
11021,20140915,1
11021,20140916,1
11021,20140917,1
11021,20140918,1
11021,20140919,1
11021,20140922,1
11021,20140923,1
11021,20140924,1
11021,20140925,1
11021,20140926,1
11021,20140929,1
11021,20140930,1
11021,20141001,1
11021,20141002,1
11021,20141003,1
11021,20141006,1
11021,20141007,1
11021,20141008,1
11021,20141009,1
11021,20141010,1
11021,20141014,1
11021,20141015,1
11021,20141016,1
11021,20141017,1
11021,20141020,1
11021,20141021,1
11021,20141022,1
11021,20141023,1
11021,20141024,1
11021,20141027,1
11021,20141028,1
11021,20141029,1
11021,20141030,1
11021,20141031,1
11021,20141103,1
11021,20141104,1
11021,20141105,1
11021,20141106,1
11021,20141107,1
11021,20141110,1
11021,20141111,1
11021,20141112,1
11021,20141113,1
11021,20141114,1
11021,20141117,1
11021,20141118,1
11021,20141119,1
11021,20141120,1
11021,20141121,1
11021,20141124,1
11021,20141125,1
11021,20141126,1
11021,20141127,1
11021,20141128,1
11021,20141201,1
11021,20141202,1
11021,20141203,1
11021,20141204,1
11021,20141205,1
11021,20141208,1
11021,20141209,1
11021,20141210,1
11021,20141211,1
11021,20141212,1
11021,20141215,1
11021,20141216,1
11021,20141217,1
11021,20141218,1
11021,20141219,1
11022,20140818,1
11022,20140819,1
11022,20140820,1
11022,20140821,1
11022,20140822,1
11022,20140825,1
11022,20140826,1
11022,20140827,1
11022,20140828,1
11022,20140829,1
11022,20140902,1
11022,20140903,1
11022,20140904,1
11022,20140905,1
11022,20140908,1
11022,20140909,1
11022,20140910,1
11022,20140911,1
11022,20140912,1
11022,20140915,1
11022,20140916,1
11022,20140917,1
11022,20140918,1
11022,20140919,1
11022,20140922,1
11022,20140923,1
11022,20140924,1
11022,20140925,1
11022,20140926,1
11022,20140929,1
11022,20140930,1
11022,20141001,1
11022,20141002,1
11022,20141003,1
11022,20141006,1
11022,20141007,1
11022,20141008,1
11022,20141009,1
11022,20141010,1
11022,20141014,1
11022,20141015,1
11022,20141016,1
11022,20141017,1
11022,20141020,1
11022,20141021,1
11022,20141022,1
11022,20141023,1
11022,20141024,1
11022,20141027,1
11022,20141028,1
11022,20141029,1
11022,20141030,1
11022,20141031,1
11022,20141103,1
11022,20141104,1
11022,20141105,1
11022,20141106,1
11022,20141107,1
11022,20141110,1
11022,20141111,1
11022,20141112,1
11022,20141113,1
11022,20141114,1
11022,20141117,1
11022,20141118,1
11022,20141119,1
11022,20141120,1
11022,20141121,1
11022,20141124,1
11022,20141125,1
11022,20141126,1
11022,20141127,1
11022,20141128,1
11022,20141201,1
11022,20141202,1
11022,20141203,1
11022,20141204,1
11022,20141205,1
11022,20141208,1
11022,20141209,1
11022,20141210,1
11022,20141211,1
11022,20141212,1
11022,20141215,1
11022,20141216,1
11022,20141217,1
11022,20141218,1
11022,20141219,1
11023,20140818,1
11023,20140819,1
11023,20140820,1
11023,20140821,1
11023,20140822,1
11023,20140825,1
11023,20140826,1
11023,20140827,1
11023,20140828,1
11023,20140829,1
11023,20140902,1
11023,20140903,1
11023,20140904,1
11023,20140905,1
11023,20140908,1
11023,20140909,1
11023,20140910,1
11023,20140911,1
11023,20140912,1
11023,20140915,1
11023,20140916,1
11023,20140917,1
11023,20140918,1
11023,20140919,1
11023,20140922,1
11023,20140923,1
11023,20140924,1
11023,20140925,1
11023,20140926,1
11023,20140929,1
11023,20140930,1
11023,20141001,1
11023,20141002,1
11023,20141003,1
11023,20141006,1
11023,20141007,1
11023,20141008,1
11023,20141009,1
11023,20141010,1
11023,20141014,1
11023,20141015,1
11023,20141016,1
11023,20141017,1
11023,20141020,1
11023,20141021,1
11023,20141022,1
11023,20141023,1
11023,20141024,1
11023,20141027,1
11023,20141028,1
11023,20141029,1
11023,20141030,1
11023,20141031,1
11023,20141103,1
11023,20141104,1
11023,20141105,1
11023,20141106,1
11023,20141107,1
11023,20141110,1
11023,20141111,1
11023,20141112,1
11023,20141113,1
11023,20141114,1
11023,20141117,1
11023,20141118,1
11023,20141119,1
11023,20141120,1
11023,20141121,1
11023,20141124,1
11023,20141125,1
11023,20141126,1
11023,20141127,1
11023,20141128,1
11023,20141201,1
11023,20141202,1
11023,20141203,1
11023,20141204,1
11023,20141205,1
11023,20141208,1
11023,20141209,1
11023,20141210,1
11023,20141211,1
11023,20141212,1
11023,20141215,1
11023,20141216,1
11023,20141217,1
11023,20141218,1
11023,20141219,1
11024,20140818,1
11024,20140819,1
11024,20140820,1
11024,20140821,1
11024,20140822,1
11024,20140825,1
11024,20140826,1
11024,20140827,1
11024,20140828,1
11024,20140829,1
11024,20140902,1
11024,20140903,1
11024,20140904,1
11024,20140905,1
11024,20140908,1
11024,20140909,1
11024,20140910,1
11024,20140911,1
11024,20140912,1
11024,20140915,1
11024,20140916,1
11024,20140917,1
11024,20140918,1
11024,20140919,1
11024,20140922,1
11024,20140923,1
11024,20140924,1
11024,20140925,1
11024,20140926,1
11024,20140929,1
11024,20140930,1
11024,20141001,1
11024,20141002,1
11024,20141003,1
11024,20141006,1
11024,20141007,1
11024,20141008,1
11024,20141009,1
11024,20141010,1
11024,20141014,1
11024,20141015,1
11024,20141016,1
11024,20141017,1
11024,20141020,1
11024,20141021,1
11024,20141022,1
11024,20141023,1
11024,20141024,1
11024,20141027,1
11024,20141028,1
11024,20141029,1
11024,20141030,1
11024,20141031,1
11024,20141103,1
11024,20141104,1
11024,20141105,1
11024,20141106,1
11024,20141107,1
11024,20141110,1
11024,20141111,1
11024,20141112,1
11024,20141113,1
11024,20141114,1
11024,20141117,1
11024,20141118,1
11024,20141119,1
11024,20141120,1
11024,20141121,1
11024,20141124,1
11024,20141125,1
11024,20141126,1
11024,20141127,1
11024,20141128,1
11024,20141201,1
11024,20141202,1
11024,20141203,1
11024,20141204,1
11024,20141205,1
11024,20141208,1
11024,20141209,1
11024,20141210,1
11024,20141211,1
11024,20141212,1
11024,20141215,1
11024,20141216,1
11024,20141217,1
11024,20141218,1
11024,20141219,1
11025,20140818,1
11025,20140819,1
11025,20140820,1
11025,20140821,1
11025,20140822,1
11025,20140825,1
11025,20140826,1
11025,20140827,1
11025,20140828,1
11025,20140829,1
11025,20140902,1
11025,20140903,1
11025,20140904,1
11025,20140905,1
11025,20140908,1
11025,20140909,1
11025,20140910,1
11025,20140911,1
11025,20140912,1
11025,20140915,1
11025,20140916,1
11025,20140917,1
11025,20140918,1
11025,20140919,1
11025,20140922,1
11025,20140923,1
11025,20140924,1
11025,20140925,1
11025,20140926,1
11025,20140929,1
11025,20140930,1
11025,20141001,1
11025,20141002,1
11025,20141003,1
11025,20141006,1
11025,20141007,1
11025,20141008,1
11025,20141009,1
11025,20141010,1
11025,20141014,1
11025,20141015,1
11025,20141016,1
11025,20141017,1
11025,20141020,1
11025,20141021,1
11025,20141022,1
11025,20141023,1
11025,20141024,1
11025,20141027,1
11025,20141028,1
11025,20141029,1
11025,20141030,1
11025,20141031,1
11025,20141103,1
11025,20141104,1
11025,20141105,1
11025,20141106,1
11025,20141107,1
11025,20141110,1
11025,20141111,1
11025,20141112,1
11025,20141113,1
11025,20141114,1
11025,20141117,1
11025,20141118,1
11025,20141119,1
11025,20141120,1
11025,20141121,1
11025,20141124,1
11025,20141125,1
11025,20141126,1
11025,20141127,1
11025,20141128,1
11025,20141201,1
11025,20141202,1
11025,20141203,1
11025,20141204,1
11025,20141205,1
11025,20141208,1
11025,20141209,1
11025,20141210,1
11025,20141211,1
11025,20141212,1
11025,20141215,1
11025,20141216,1
11025,20141217,1
11025,20141218,1
11025,20141219,1
11026,20140818,1
11026,20140819,1
11026,20140820,1
11026,20140821,1
11026,20140822,1
11026,20140825,1
11026,20140826,1
11026,20140827,1
11026,20140828,1
11026,20140829,1
11026,20140902,1
11026,20140903,1
11026,20140904,1
11026,20140905,1
11026,20140908,1
11026,20140909,1
11026,20140910,1
11026,20140911,1
11026,20140912,1
11026,20140915,1
11026,20140916,1
11026,20140917,1
11026,20140918,1
11026,20140919,1
11026,20140922,1
11026,20140923,1
11026,20140924,1
11026,20140925,1
11026,20140926,1
11026,20140929,1
11026,20140930,1
11026,20141001,1
11026,20141002,1
11026,20141003,1
11026,20141006,1
11026,20141007,1
11026,20141008,1
11026,20141009,1
11026,20141010,1
11026,20141014,1
11026,20141015,1
11026,20141016,1
11026,20141017,1
11026,20141020,1
11026,20141021,1
11026,20141022,1
11026,20141023,1
11026,20141024,1
11026,20141027,1
11026,20141028,1
11026,20141029,1
11026,20141030,1
11026,20141031,1
11026,20141103,1
11026,20141104,1
11026,20141105,1
11026,20141106,1
11026,20141107,1
11026,20141110,1
11026,20141111,1
11026,20141112,1
11026,20141113,1
11026,20141114,1
11026,20141117,1
11026,20141118,1
11026,20141119,1
11026,20141120,1
11026,20141121,1
11026,20141124,1
11026,20141125,1
11026,20141126,1
11026,20141127,1
11026,20141128,1
11026,20141201,1
11026,20141202,1
11026,20141203,1
11026,20141204,1
11026,20141205,1
11026,20141208,1
11026,20141209,1
11026,20141210,1
11026,20141211,1
11026,20141212,1
11026,20141215,1
11026,20141216,1
11026,20141217,1
11026,20141218,1
11026,20141219,1
11027,20140818,1
11027,20140819,1
11027,20140820,1
11027,20140821,1
11027,20140822,1
11027,20140825,1
11027,20140826,1
11027,20140827,1
11027,20140828,1
11027,20140829,1
11027,20140902,1
11027,20140903,1
11027,20140904,1
11027,20140905,1
11027,20140908,1
11027,20140909,1
11027,20140910,1
11027,20140911,1
11027,20140912,1
11027,20140915,1
11027,20140916,1
11027,20140917,1
11027,20140918,1
11027,20140919,1
11027,20140922,1
11027,20140923,1
11027,20140924,1
11027,20140925,1
11027,20140926,1
11027,20140929,1
11027,20140930,1
11027,20141001,1
11027,20141002,1
11027,20141003,1
11027,20141006,1
11027,20141007,1
11027,20141008,1
11027,20141009,1
11027,20141010,1
11027,20141014,1
11027,20141015,1
11027,20141016,1
11027,20141017,1
11027,20141020,1
11027,20141021,1
11027,20141022,1
11027,20141023,1
11027,20141024,1
11027,20141027,1
11027,20141028,1
11027,20141029,1
11027,20141030,1
11027,20141031,1
11027,20141103,1
11027,20141104,1
11027,20141105,1
11027,20141106,1
11027,20141107,1
11027,20141110,1
11027,20141111,1
11027,20141112,1
11027,20141113,1
11027,20141114,1
11027,20141117,1
11027,20141118,1
11027,20141119,1
11027,20141120,1
11027,20141121,1
11027,20141124,1
11027,20141125,1
11027,20141126,1
11027,20141127,1
11027,20141128,1
11027,20141201,1
11027,20141202,1
11027,20141203,1
11027,20141204,1
11027,20141205,1
11027,20141208,1
11027,20141209,1
11027,20141210,1
11027,20141211,1
11027,20141212,1
11027,20141215,1
11027,20141216,1
11027,20141217,1
11027,20141218,1
11027,20141219,1
11028,20140818,1
11028,20140819,1
11028,20140820,1
11028,20140821,1
11028,20140822,1
11028,20140825,1
11028,20140826,1
11028,20140827,1
11028,20140828,1
11028,20140829,1
11028,20140902,1
11028,20140903,1
11028,20140904,1
11028,20140905,1
11028,20140908,1
11028,20140909,1
11028,20140910,1
11028,20140911,1
11028,20140912,1
11028,20140915,1
11028,20140916,1
11028,20140917,1
11028,20140918,1
11028,20140919,1
11028,20140922,1
11028,20140923,1
11028,20140924,1
11028,20140925,1
11028,20140926,1
11028,20140929,1
11028,20140930,1
11028,20141001,1
11028,20141002,1
11028,20141003,1
11028,20141006,1
11028,20141007,1
11028,20141008,1
11028,20141009,1
11028,20141010,1
11028,20141014,1
11028,20141015,1
11028,20141016,1
11028,20141017,1
11028,20141020,1
11028,20141021,1
11028,20141022,1
11028,20141023,1
11028,20141024,1
11028,20141027,1
11028,20141028,1
11028,20141029,1
11028,20141030,1
11028,20141031,1
11028,20141103,1
11028,20141104,1
11028,20141105,1
11028,20141106,1
11028,20141107,1
11028,20141110,1
11028,20141111,1
11028,20141112,1
11028,20141113,1
11028,20141114,1
11028,20141117,1
11028,20141118,1
11028,20141119,1
11028,20141120,1
11028,20141121,1
11028,20141124,1
11028,20141125,1
11028,20141126,1
11028,20141127,1
11028,20141128,1
11028,20141201,1
11028,20141202,1
11028,20141203,1
11028,20141204,1
11028,20141205,1
11028,20141208,1
11028,20141209,1
11028,20141210,1
11028,20141211,1
11028,20141212,1
11028,20141215,1
11028,20141216,1
11028,20141217,1
11028,20141218,1
11028,20141219,1
11029,20140818,1
11029,20140819,1
11029,20140820,1
11029,20140821,1
11029,20140822,1
11029,20140825,1
11029,20140826,1
11029,20140827,1
11029,20140828,1
11029,20140829,1
11029,20140902,1
11029,20140903,1
11029,20140904,1
11029,20140905,1
11029,20140908,1
11029,20140909,1
11029,20140910,1
11029,20140911,1
11029,20140912,1
11029,20140915,1
11029,20140916,1
11029,20140917,1
11029,20140918,1
11029,20140919,1
11029,20140922,1
11029,20140923,1
11029,20140924,1
11029,20140925,1
11029,20140926,1
11029,20140929,1
11029,20140930,1
11029,20141001,1
11029,20141002,1
11029,20141003,1
11029,20141006,1
11029,20141007,1
11029,20141008,1
11029,20141009,1
11029,20141010,1
11029,20141014,1
11029,20141015,1
11029,20141016,1
11029,20141017,1
11029,20141020,1
11029,20141021,1
11029,20141022,1
11029,20141023,1
11029,20141024,1
11029,20141027,1
11029,20141028,1
11029,20141029,1
11029,20141030,1
11029,20141031,1
11029,20141103,1
11029,20141104,1
11029,20141105,1
11029,20141106,1
11029,20141107,1
11029,20141110,1
11029,20141111,1
11029,20141112,1
11029,20141113,1
11029,20141114,1
11029,20141117,1
11029,20141118,1
11029,20141119,1
11029,20141120,1
11029,20141121,1
11029,20141124,1
11029,20141125,1
11029,20141126,1
11029,20141127,1
11029,20141128,1
11029,20141201,1
11029,20141202,1
11029,20141203,1
11029,20141204,1
11029,20141205,1
11029,20141208,1
11029,20141209,1
11029,20141210,1
11029,20141211,1
11029,20141212,1
11029,20141215,1
11029,20141216,1
11029,20141217,1
11029,20141218,1
11029,20141219,1
11030,20140818,1
11030,20140819,1
11030,20140820,1
11030,20140821,1
11030,20140822,1
11030,20140825,1
11030,20140826,1
11030,20140827,1
11030,20140828,1
11030,20140829,1
11030,20140902,1
11030,20140903,1
11030,20140904,1
11030,20140905,1
11030,20140908,1
11030,20140909,1
11030,20140910,1
11030,20140911,1
11030,20140912,1
11030,20140915,1
11030,20140916,1
11030,20140917,1
11030,20140918,1
11030,20140919,1
11030,20140922,1
11030,20140923,1
11030,20140924,1
11030,20140925,1
11030,20140926,1
11030,20140929,1
11030,20140930,1
11030,20141001,1
11030,20141002,1
11030,20141003,1
11030,20141006,1
11030,20141007,1
11030,20141008,1
11030,20141009,1
11030,20141010,1
11030,20141014,1
11030,20141015,1
11030,20141016,1
11030,20141017,1
11030,20141020,1
11030,20141021,1
11030,20141022,1
11030,20141023,1
11030,20141024,1
11030,20141027,1
11030,20141028,1
11030,20141029,1
11030,20141030,1
11030,20141031,1
11030,20141103,1
11030,20141104,1
